metric,pair,p_omission,delta_star,delta_ref,sign_flip,interaction_mean,ci_low,ci_high,d,p_raw,n
hd95,M0_vs_M1_Omission,0.3,-0.11975213673617852,0.263209496304644,True,0.38296163304082254,0.2700285052918368,0.5435982177764377,0.6088404265676151,8.654036635008003e-10,85
hd95,M0_vs_M2_Drift_mu0,0.3,-0.07814100337302454,0.3355251304493037,True,0.4136661338223283,0.297631493425435,0.5786038383002672,0.6433115246911182,4.284791341742641e-11,85
nsd,M0_vs_M1_Omission,0.3,0.006568710268010682,-0.004486050031548775,True,-0.011054760299559457,-0.011801849911904421,-0.010320691639113153,-3.127131538488846,1.1690041365809683e-15,85
nsd,M0_vs_M2_Drift_mu0,0.3,0.006731902508035813,-0.004571370873654249,True,-0.01130327338169006,-0.012153624465099693,-0.010490382807542591,-2.869629708370815,1.1690041365809683e-15,85
