metric,pair,p_omission,delta_star,delta_ref,sign_flip,interaction_mean,ci_low,ci_high,d,p_raw,n
hd95,M0_vs_M1_Omission,0.3,-0.11975213673617852,0.2858882186457945,True,0.40564035538197296,0.2886453823596458,0.5646215699902956,0.6290276930771724,1.2097827521081113e-09,85
hd95,M0_vs_M2_Drift_mu0,0.3,-0.07814100337302454,0.3482122235993541,True,0.4263532269723786,0.31373315470720164,0.5725758916358439,0.7002019649772171,5.704859437201694e-11,85
nsd,M0_vs_M1_Omission,0.3,0.006568710268010682,-0.005012023010670791,True,-0.011580733278681473,-0.012500410392383816,-0.010794379314846395,-2.893390872587143,1.1690041365809683e-15,85
nsd,M0_vs_M2_Drift_mu0,0.3,0.006731902508035813,-0.004882993643394261,True,-0.011614896151430073,-0.01254728687705842,-0.010794803135463635,-2.8120175182885028,1.1690041365809683e-15,85
