metric,postprocessing,model_a,model_b,delta_s1,delta_s2,interaction_median,d,ci_low,ci_high,p_raw,n,p_fdr,sign_flip,is_reversal
hd95,none,M0_Star,M1_Omission,-0.11975213673617852,0.29807813460990823,0.2702096285793236,0.7206106038437817,0.18340680248013208,0.29662835935904575,3.056786450672828e-11,85,3.493470229340375e-11,True,True
hd95,none,M0_Star,M2_Drift_mu0,-0.07814100337302454,0.367501597894477,0.2713743561930424,0.7307080028925754,0.16337128141876622,0.32421610472640583,5.5417203943673925e-12,85,8.866752630987827e-12,True,True
hd95,lcc,M0_Star,M1_Omission,-0.24147875571735775,0.18174419845124828,0.24457421122460543,0.7118891533309142,0.15705153987844844,0.284783677472745,5.566716247043034e-11,85,5.566716247043034e-11,True,True
hd95,lcc,M0_Star,M2_Drift_mu0,-0.18531225061030934,0.2295362011734157,0.24457421122460543,0.6959974731522826,0.15659256183558823,0.2702096285793236,2.6322883534726147e-11,85,3.493470229340375e-11,True,True
nsd,none,M0_Star,M1_Omission,0.006568710268010686,-0.004953645994200312,-0.011286365119114738,-3.1355656224509874,-0.012431996105926824,-0.01061670049171537,1.1690041365809683e-15,85,2.3380082731619366e-15,True,True
nsd,none,M0_Star,M2_Drift_mu0,0.00673190250803583,-0.004925736962902813,-0.011646045452247344,-2.8364912342126143,-0.012565909245601636,-0.009752872096952414,1.1690041365809683e-15,85,2.3380082731619366e-15,True,True
nsd,lcc,M0_Star,M1_Omission,0.011053482229020016,-0.0016128313788600136,-0.01228603301867437,-2.672531045794333,-0.014088796413443294,-0.011315498254449108,1.1690041365809683e-15,85,2.3380082731619366e-15,True,True
nsd,lcc,M0_Star,M2_Drift_mu0,0.011100821693637923,-0.0015481926269855927,-0.012805043155557083,-2.622582144788955,-0.013882657860913805,-0.010561597659874189,1.1690041365809683e-15,85,2.3380082731619366e-15,True,True
