metric,pair,p_omission,delta_star,delta_ref,sign_flip,interaction_mean,ci_low,ci_high,d,p_raw,n
hd95,M0_vs_M1_Omission,0.3,-0.11975213673617852,0.3263307423047543,True,0.4460828790409328,0.332840448903402,0.6001793375030623,0.7187053833752406,2.7583878574142996e-11,85
hd95,M0_vs_M2_Drift_mu0,0.3,-0.07814100337302454,0.3739921047519305,True,0.45213310812495505,0.3397087987683181,0.602916077707462,0.7455292680337731,9.970078593659845e-12,85
nsd,M0_vs_M1_Omission,0.3,0.006568710268010682,-0.005551712917319546,True,-0.012120423185330229,-0.012996380329501723,-0.011277357540723279,-2.975065680797235,1.1690041365809683e-15,85
nsd,M0_vs_M2_Drift_mu0,0.3,0.006731902508035813,-0.005385774099045731,True,-0.012117676607081542,-0.013095205617457441,-0.011242207543728467,-2.7340926011494453,1.1690041365809683e-15,85
