case,vox,cov_M0,cov_M1,cov_M2
PARSE_0075.nii.gz,21775,0.6314121699196326,0.5017680826636051,0.5002066590126292
PARSE_0076.nii.gz,14324,0.8018011728567439,0.6430466350181514,0.6448617704551801
PARSE_0077.nii.gz,18575,0.8749932705248991,0.7510094212651414,0.7542395693135936
PARSE_0078.nii.gz,30729,0.8425591460835041,0.7658238146376387,0.7898727586319112
PARSE_0079.nii.gz,30084,0.7068541417364712,0.5414173647121393,0.5560430793777423
PARSE_0080.nii.gz,17999,0.8628812711817323,0.8119895549752764,0.7723762431246181
PARSE_0081.nii.gz,33558,0.6210441623457894,0.5034865009833721,0.46680374277370523
PARSE_0082.nii.gz,11504,0.7448713490959666,0.6033553546592489,0.583970792767733
PARSE_0083.nii.gz,19322,0.3644032708829314,0.26379256805713697,0.27631715143359903
PARSE_0084.nii.gz,20028,0.6752546434991012,0.48641901338126625,0.445026962252846
PARSE_0085.nii.gz,23147,0.898906985786495,0.7909448308636108,0.7716766751630881
