metric,pair,p_omission,delta_star,delta_ref,sign_flip,interaction_mean,ci_low,ci_high,d,p_raw,n
hd95,M0_vs_M1_Omission,0.3,-0.11975213673617852,0.33562603259749907,True,0.45537816933367764,0.33649292528472213,0.6296266266302419,0.668373309773117,7.639829293146791e-11,85
hd95,M0_vs_M2_Drift_mu0,0.3,-0.07814100337302454,0.3992514913940057,True,0.4773924947670303,0.35453307908602744,0.6616170476299786,0.6726058899787615,7.703594218394638e-11,85
nsd,M0_vs_M1_Omission,0.3,0.006568710268010682,-0.0051116596798988665,True,-0.011680369947909549,-0.012602438780927807,-0.010909471191346474,-2.9332398599932756,1.1690041365809683e-15,85
nsd,M0_vs_M2_Drift_mu0,0.3,0.006731902508035813,-0.00512835966991021,True,-0.011860262177946022,-0.012920200439534095,-0.01100879566316173,-2.6701469027570464,1.1690041365809683e-15,85
