metric,pair,p_omission,delta_star,delta_ref,sign_flip,interaction_mean,ci_low,ci_high,d,p_raw,n
hd95,M0_vs_M1_Omission,0.3,-0.11975213673617852,0.27129663194364734,True,0.39104876867982585,0.2883013097603329,0.5336052968931787,0.6843846040451815,5.3123496209116114e-11,85
hd95,M0_vs_M2_Drift_mu0,0.3,-0.07814100337302454,0.33416945747528076,True,0.41231046084830525,0.3111889835821465,0.5454284380965057,0.7457555764883497,8.492745733193575e-12,85
nsd,M0_vs_M1_Omission,0.3,0.006568710268010682,-0.005251852309549181,True,-0.011820562577559864,-0.012658887366339768,-0.01103299612512462,-3.012132986834277,1.1690041365809683e-15,85
nsd,M0_vs_M2_Drift_mu0,0.3,0.006731902508035813,-0.005475528661886615,True,-0.012207431169922428,-0.013219812389432869,-0.01126544297636743,-2.6552750829929734,1.1690041365809683e-15,85
