metric,pair,p_omission,delta_star,delta_ref,sign_flip,interaction_mean,ci_low,ci_high,d,p_raw,n
hd95,M0_vs_M1_Omission,0.3,-0.11975213673617852,0.2873203703018968,True,0.4070725070380751,0.2953280673087939,0.5812276416779161,0.6236547373972712,7.028818625323494e-11,85
hd95,M0_vs_M2_Drift_mu0,0.3,-0.07814100337302454,0.33486028252348804,True,0.4130012858965126,0.30036641068521686,0.5829152391384468,0.636447660553008,3.4104523965526496e-11,85
nsd,M0_vs_M1_Omission,0.3,0.006568710268010682,-0.004643439949444065,True,-0.011212150217454748,-0.012102511654968444,-0.010452535073956949,-2.9017908381948954,1.1690041365809683e-15,85
nsd,M0_vs_M2_Drift_mu0,0.3,0.006731902508035813,-0.004642606942276894,True,-0.011374509450312707,-0.012366117042238691,-0.010538417726056279,-2.640574523009161,1.1690041365809683e-15,85
