metric,pair,p_omission,delta_star,delta_ref,sign_flip,interaction_mean,ci_low,ci_high,d,p_raw,n
hd95,M0_vs_M1_Omission,0.3,-0.11975213673617852,0.3160254355867112,True,0.43577757232288966,0.317650187775078,0.5976161607724318,0.6754611619474692,3.1170754775198184e-10,85
hd95,M0_vs_M2_Drift_mu0,0.3,-0.07814100337302454,0.37312743717969443,True,0.4512684405527189,0.33239891742436045,0.6143560291663918,0.6999419271988163,3.8499574322936794e-11,85
nsd,M0_vs_M1_Omission,0.3,0.006568710268010682,-0.005061991021797814,True,-0.011630701289808495,-0.012529065153997715,-0.01077764238822276,-2.8263834344806957,1.1690041365809683e-15,85
nsd,M0_vs_M2_Drift_mu0,0.3,0.006731902508035813,-0.0048064137072781924,True,-0.011538316215314006,-0.012458303045911948,-0.01071767086329185,-2.8109988494478535,1.1690041365809683e-15,85
