metric,pair,n_draws,interaction_mean_over_draws,interaction_sd_over_draws,interaction_min,interaction_max,delta_ref_mean,delta_ref_sd,n_draws_sign_flip,d_min,d_max,p_raw_max
hd95,M0_vs_M1_Omission,11,0.42300877802541614,0.02938695151137172,0.3829616330408225,0.4723192489496245,0.3032566412892377,0.029386951511371707,11,0.6088404265676151,0.7206106038437817,1.2097827521081111e-09
hd95,M0_vs_M2_Drift_mu0,11,0.442910561341376,0.02771652660080441,0.4123104608483052,0.4891977096961208,0.3647695579683515,0.02771652660080443,11,0.636447660553008,0.7457555764883497,7.703594218394638e-11
nsd,M0_vs_M1_Omission,11,-0.011640540056645847,0.00031094043591851006,-0.0121204231853302,-0.0110547602995594,-0.005071829788635163,0.00031094043591851944,11,-3.1452783434632563,-2.7462569304208775,1.1690041365809685e-15
nsd,M0_vs_M2_Drift_mu0,11,-0.011780413997949091,0.00033102281924727786,-0.0122074311699224,-0.01130327338169,-0.005048511489913273,0.00033102281924729743,11,-2.871408830893847,-2.485057124946633,1.1690041365809685e-15
