metric,pair,p_omission,delta_star,delta_ref,sign_flip,interaction_mean,ci_low,ci_high,d,p_raw,n
hd95,M0_vs_M1_Omission,0.3,-0.11975213673617852,0.352567112213446,True,0.4723192489496245,0.3482119332531299,0.6697094588665395,0.6497342956361946,2.2087169265716532e-11,85
hd95,M0_vs_M2_Drift_mu0,0.3,-0.07814100337302454,0.4110567063230963,True,0.4891977096961208,0.3636669226113194,0.6900487525042442,0.6623126575148195,8.370797051387625e-12,85
nsd,M0_vs_M1_Omission,0.3,0.006568710268010682,-0.005319164456795256,True,-0.011887874724805937,-0.012838037567440265,-0.011015084696520095,-2.7462569304208775,1.1690041365809683e-15,85
nsd,M0_vs_M2_Drift_mu0,0.3,0.006731902508035813,-0.005467678182368024,True,-0.012199580690403836,-0.01327491942246927,-0.011238270429925151,-2.485057124946633,1.1690041365809683e-15,85
