metric,reference,model_pair,ratio_median,ratio_ci_low,ratio_ci_high,ref_effect_abs_median,model_effect_abs_median,n,git_commit,seed,timestamp
nsd,GT_minus_drift_pos,M1_Omission_vs_M2_Drift_mu0,2.0278586700876904,1.6176935344182044,2.7038635542193643,0.004649766440474656,0.002292944034543387,85,c1e84f2,42,2026-09-07T15:23:01+00:00
nsd05,GT_minus_omission,M0_Star_vs_M1_Omission,2.8499983147415526,1.8853497383115911,4.5207982622385305,0.051933382915113735,0.018222250394496542,85,c1e84f2,42,2026-09-07T15:23:01+00:00
nsd05,GT_minus_omission,M0_Star_vs_M2_Drift_mu0,2.311744677613014,1.65970843780371,3.3236830936782766,0.04981713325263776,0.02154958276104968,85,c1e84f2,42,2026-09-07T15:23:01+00:00
nsd05,GT_minus_omission,M1_Omission_vs_M2_Drift_mu0,5.04936351734513,3.6368774746728203,8.182294170707662,0.04520232635796262,0.008952084000822591,85,c1e84f2,42,2026-09-07T15:23:01+00:00
nsd05,GT_minus_drift_neg,M0_Star_vs_M1_Omission,2.2667009141558636,1.820284906118574,3.6924105294316676,0.056947703570691455,0.025123607272157122,85,c1e84f2,42,2026-09-07T15:23:01+00:00
nsd05,GT_minus_drift_neg,M0_Star_vs_M2_Drift_mu0,2.319592203934023,1.7728025557805194,3.094436204927299,0.05765636337426744,0.02485624985136714,85,c1e84f2,42,2026-09-07T15:23:01+00:00
nsd05,GT_minus_drift_neg,M1_Omission_vs_M2_Drift_mu0,7.710980896801778,5.683071796001763,9.857876939575553,0.05334759296943681,0.006918392573318832,85,c1e84f2,42,2026-09-07T15:23:01+00:00
nsd05,GT_minus_drift_pos,M0_Star_vs_M1_Omission,2.158167726433104,1.772099668493423,2.9356437845625005,0.06623609476676823,0.030690892999423847,85,c1e84f2,42,2026-09-07T15:23:01+00:00
nsd05,GT_minus_drift_pos,M0_Star_vs_M2_Drift_mu0,2.4765352288511253,1.9917292167070362,2.9690815021680597,0.06694703142556085,0.02703253749255885,85,c1e84f2,42,2026-09-07T15:23:01+00:00
nsd05,GT_minus_drift_pos,M1_Omission_vs_M2_Drift_mu0,7.987940069262517,6.7399599396030725,11.321078980939479,0.06809379311585728,0.008524574862282863,85,c1e84f2,42,2026-09-07T15:23:01+00:00
betti0,GT_minus_omission,M0_Star_vs_M1_Omission,1.8888888888888888,1.3636363636363635,2.25,17.0,9.0,85,c1e84f2,42,2026-09-07T15:23:01+00:00
betti0,GT_minus_omission,M0_Star_vs_M2_Drift_mu0,1.7,1.0769230769230769,2.0,17.0,10.0,85,c1e84f2,42,2026-09-07T15:23:01+00:00
betti0,GT_minus_omission,M1_Omission_vs_M2_Drift_mu0,1.8888888888888888,1.3636363636363635,2.3333333333333335,17.0,9.0,85,c1e84f2,42,2026-09-07T15:23:01+00:00
betti0,GT_minus_drift_neg,M0_Star_vs_M1_Omission,6.333333333333333,4.166666666666667,7.375,57.0,9.0,85,c1e84f2,42,2026-09-07T15:23:01+00:00
betti0,GT_minus_drift_neg,M0_Star_vs_M2_Drift_mu0,6.555555555555555,4.615384615384615,9.142857142857142,59.0,9.0,85,c1e84f2,42,2026-09-07T15:23:01+00:00
betti0,GT_minus_drift_neg,M1_Omission_vs_M2_Drift_mu0,6.666666666666667,5.0,8.285714285714286,60.0,9.0,85,c1e84f2,42,2026-09-07T15:23:01+00:00
betti0,GT_minus_drift_pos,M0_Star_vs_M1_Omission,2.5555555555555554,1.8333333333333333,3.375,23.0,9.0,85,c1e84f2,42,2026-09-07T15:23:01+00:00
betti0,GT_minus_drift_pos,M0_Star_vs_M2_Drift_mu0,2.3,1.4666666666666666,2.8,23.0,10.0,85,c1e84f2,42,2026-09-07T15:23:01+00:00
betti0,GT_minus_drift_pos,M1_Omission_vs_M2_Drift_mu0,2.5555555555555554,1.9090909090909092,3.125,23.0,9.0,85,c1e84f2,42,2026-09-07T15:23:01+00:00
volume_delta_abs,GT_minus_omission,M0_Star_vs_M1_Omission,1.4086509457649514,1.210503078161273,1.7054726865656171,0.059718057968262406,0.04239379396847898,85,c1e84f2,42,2026-09-07T15:23:01+00:00
volume_delta_abs,GT_minus_omission,M0_Star_vs_M2_Drift_mu0,1.147961197193938,0.9808880313359641,1.384175333679383,0.056698731574179095,0.0493908084286932,85,c1e84f2,42,2026-09-07T15:23:01+00:00
volume_delta_abs,GT_minus_omission,M1_Omission_vs_M2_Drift_mu0,4.798790956313034,3.205801366657915,6.226821337189887,0.0671800576267878,0.013999371558039903,85,c1e84f2,42,2026-09-07T15:23:01+00:00
volume_delta_abs,GT_minus_drift_neg,M0_Star_vs_M1_Omission,0.8960978771459502,0.7741303650381095,1.0366163744733599,0.038745923071904,0.0432384944324484,85,c1e84f2,42,2026-09-07T15:23:01+00:00
volume_delta_abs,GT_minus_drift_neg,M0_Star_vs_M2_Drift_mu0,0.7575058222179931,0.6720967573714293,0.8541243449307365,0.038295034560480806,0.050554112506161514,85,c1e84f2,42,2026-09-07T15:23:01+00:00
volume_delta_abs,GT_minus_drift_neg,M1_Omission_vs_M2_Drift_mu0,3.0786317610105196,2.070574309609527,3.6702586064358145,0.0389706361019624,0.012658427225856597,85,c1e84f2,42,2026-09-07T15:23:01+00:00
volume_delta_abs,GT_minus_drift_pos,M0_Star_vs_M1_Omission,1.396836062538005,1.2083150477536737,1.5949479329869736,0.05481132955892985,0.03923962949477369,85,c1e84f2,42,2026-09-07T15:23:01+00:00
volume_delta_abs,GT_minus_drift_pos,M0_Star_vs_M2_Drift_mu0,1.110365795026101,0.9468741569434701,1.2637652117416953,0.05327139002267841,0.04797643286681591,85,c1e84f2,42,2026-09-07T15:23:01+00:00
volume_delta_abs,GT_minus_drift_pos,M1_Omission_vs_M2_Drift_mu0,4.756729966224644,3.1918533779574862,5.9545866391245355,0.0560357426761999,0.011780307705941684,85,c1e84f2,42,2026-09-07T15:23:01+00:00
