metric,pair,p_omission,delta_star,delta_ref,sign_flip,interaction_mean,ci_low,ci_high,d,p_raw,n
hd95,M0_vs_M1_Omission,0.3,-0.11975213673617852,0.27495348988543783,True,0.3947056266216163,0.29389862897119146,0.5371324152916607,0.711913041128057,1.2412351224594514e-10,85
hd95,M0_vs_M2_Drift_mu0,0.3,-0.07814100337302454,0.3427450145683208,True,0.4208860179413454,0.3154784921836851,0.5652085688542088,0.7421611893170188,9.168387007871995e-12,85
nsd,M0_vs_M1_Omission,0.3,0.006568710268010682,-0.005019583834804832,True,-0.011588294102815514,-0.012517136285372425,-0.01070250259480289,-2.7488456818649545,1.1690041365809683e-15,85
nsd,M0_vs_M2_Drift_mu0,0.3,0.006731902508035813,-0.0048860728440373365,True,-0.01161797535207315,-0.012636082553870704,-0.010670513256125119,-2.5483246911056736,1.1690041365809683e-15,85
